TITLE,ABSTRACT,PUBLICATION YEAR,AUTHORS,JOURNAL,KEYWORDS
Transforming functional models to critical chain models via expert knowledge and automatic parsing rules for design analogy identification,"Critical chains composed of critical flows and functions have been demonstrated as an effective qualitative analogy retrieval approach based on performance metrics. In prior work, engineers used expert knowledge to transform functional models into critical chain models, which are abstractions of the functional model. Automating this transformation process is highly desirable so as to provide for a robust transformation method. Within this paper, two paradigms for functional modeling abstraction are compared. A series of pruning rules provide an automated transformation approach, and this is compared to the results generated previously through an expert knowledge approach. These two approaches are evaluated against a set of published functional models. The similarity of the resulting transformation of the functional models into critical chain models is evaluated using a functional chain similarity metric, developed in previous work. Once critical chain models are identified, additional model evaluation criteria are used to evaluate the utility of the critical chain models for design analogy identification. Since the functional vocabulary acts as a common language among designers and engineers to abstract and represent critical design artifact information, analogous matching can be made about the functional vocabulary. Thus, the transformation of functional models into critical chain models enables engineers to use functional abstraction as a mechanism to identify design analogies. The critical flow rule is the most effective first step when automatically transforming a functional model to a critical chain model. Further research into more complex critical chain model architectures and the interactions between criteria is merited.",2017,"Agyemang, Malena; Linsey, Julie; Turner, Cameron J.",AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,Functional Modeling; Design by Analogy; Analogy Matching; Automated Abstraction; Functional Criteria Metrics
Creative exploration using topic-based bisociative networks,"Bisociative knowledge discovery is an approach that combines elements from two or more 'incompatible' domains to generate creative solutions and insight. Inspired by Koestler's notion of bisociation, in this paper we propose a computational framework for the discovery of new connections between domains to promote creative discovery and inspiration in design. Specifically, we propose using topic models on a large collection of unstructured text ideas from multiple domains to discover creative sources of inspiration. We use these topics to generate a Bisociative Information Network - a graph that captures conceptual similarity between ideas - that helps designers find creative links within that network. Using a dataset of thousands of ideas from OpenIDEO, an online collaborative community our results show usefulness of representing conceptual bridges through collections of words (topics) in finding cross-domain inspiration. We show that the discovered links between domains, whether presented on their own or via ideas they inspired, are perceived to be more novel and can also be used as creative stimuli for new idea generation.",2018,"Ahmed, F; Fuge, M",DESIGN SCIENCE,bisociative networks; conceptual design; computational creativity; design creativity; idea generation; DESIGN
Ontology-based similarity for product information retrieval,"Product development of today is becoming increasingly knowledge intensive. Specifically, design teams face considerable challenges in making effective use of increasing amounts of information. In order to support product information retrieval and reuse, one approach is to use case-based reasoning (CBR) in which problems are solved “by using or adapting solutions to old problems.” In CBR, a case includes both a representation of the problem and a solution to that problem. Case-based reasoning uses similarity measures to identify cases which are more relevant to the problem to be solved. However, most non-numeric similarity measures are based on syntactic grounds, which often fail to produce good matches when confronted with the meaning associated to the words they compare. To overcome this limitation, ontologies can be used to produce similarity measures that are based on semantics. This paper presents an ontology-based approach that can determine the similarity between two classes using feature-based similarity measures that replace features with attributes. The proposed approach is evaluated against other existing similarities. Finally, the effectiveness of the proposed approach is illustrated with a case study on product-service-system design problems. (C) 2013 Elsevier B.V. All rights reserved.",2014,"Akmal, Suriati; Shih, Li-Hsing; Batres, Rafael",COMPUTERS IN INDUSTRY,Ontology; Semantic similarity; Formal concept analysis; Product information retrieval
A clustering-based approach for the evaluation of candidate emerging technologies,"The aim of this study is to propose a clustering-based approach based on patent information for the evaluation of candidate emerging technologies. The proposed approach uses patent analysis and clustering approaches in data mining. Patent analysis is a widely used method for the evaluation of candidate emerging technologies in the literature. The clustering algorithms used in this study are self-organizing maps, expected maximization and density-based clustering. A real-life application on dental implant technology is presented to show how the proposed approach works in practice. The contributions of this study are twofold. This study contributes to the literature by taking into account claims, forward citations, backward citations, technology cycle times, and technology scores for the evaluation of candidate emerging technologies. Second, the evaluation of dental implant technology with respect to claims, forward citations, backward citations, technology cycle times, and technology scores has not been conducted so far. The results obtained from the application shows that dental implant technology is an candidate emerging technology and the proposed approach can be easily conducted in real life case studies.",2020,"Altuntas, Serkan; Erdogan, Zulfiye; Dereli, Turkay",SCIENTOMETRICS,Candidate emerging technologies; Clustering algorithms; Dental implant technology; Patent analysis; Technology indexes
AUTOMATIC-GENERATION OF TECHNICAL DOCUMENTATION,"In this paper, technical documentation of large systems of equipment is discussed. A general survey of the trends in documentation shows that electronic media are becoming the means of documentation. New functionalities are included in the documentation and the traditional borders between different types of documentation in design, operation, and maintenance are blurred. As examples of the potential new documentation systems, hypertext systems and the system for generating documents and manuals, DOCSY, are discussed. In particular the focus is on the modeling methodology and the generation of natural language. The paper is closed by the introduction to future research activities on HYPERDOCSY systems, which are based on a number of results from the previous project.",1991,"ANDERSEN, A; MUNCH, KH",EXPERT SYSTEMS WITH APPLICATIONS,;
Natural language processing methods for knowledge management-Applying document clustering for fast search and grouping of engineering documents,"Product development companies collect data in form of Engineering Change Requests for logged design issues, tests, and product iterations. These documents are rich in unstructured data (e.g. free text). Previous research affirms that product developers find that current IT systems lack capabilities to accurately retrieve relevant documents with unstructured data. In this research, we demonstrate a method using Natural Language Processing and document clustering algorithms to find structurally or contextually related documents from databases containing Engineering Change Request documents. The aim is to radically decrease the time needed to effectively search for related engineering documents, organize search results, and create labeled clusters from these documents by utilizing Natural Language Processing algorithms. A domain knowledge expert at the case company evaluated the results and confirmed that the algorithms we applied managed to find relevant document clusters given the queries tested.",2021,"Arnarsson, Ivar Orn; Frost, Otto; Gustavsson, Emil; Jirstrand, Mats; Malmqvist, Johan",CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,knowledge management; natural language processing; document clustering; engineering change request; semantic data processing
Natural language approach for bio-informed architectural education: a biomimetic shell design,"Biomimicry has been proposed as an important tool to reach key skills for the new century. It has taken its place as an essential resource for critical and creative thinking in design disciplines. However, as emphasized in many studies, bio-informed research requires interdisciplinary collaboration and systematic knowledge transfer. This article answers the question: “How can architects-who have limited knowledge in biology-develop biomimetic ideas and transfer this knowledge to architectural designs?” This research's hypothesis is that the “natural language approach,” which is frequently used in engineering disciplines, can also be a knowledge transfer tool for the architectural discipline. To test the hypothesis, research was conducted with a group of graduate students taking the “ARCH5661-Parametric Approach to Nature-Inspired Architectures” course in the Department of Architecture, Gazi University, Ankara, Turkey, in the fall semester of 2019. The results were evaluated based on term-long studies and feedback from the students. In light of the obtained data, this article proposes a method that can be used in architectural education and adapted to other design disciplines.",2021,"Arslan Selcuk, Semra; Mutlu Avinc, Gunes",INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,Architecture education; Bio-informed architecture; Nature language approach; Shell design
Design for invention: annotation of functional geometry interaction for representing novel working principles,In some mechanical engineering devices the novelty or inventive step of a patented design relies heavily upon how geometric features contribute to device functions. Communicating the functional interactions between geometric features in existing patented designs may increase a designer's awareness of the prior art and thereby avoid conflict with their emerging design. This paper shows how functional representations of geometry interactions can be developed from patent claims to produce novel semantic graphical and text annotations of patent drawings. The approach provides a quick and accurate means for the designer to understand the patent that is well suited to the designer's natural way of understanding the device. Through several example application cases we show the application of a detailed representation of functional geometry interactions that captures the working principle of familiar mechanical engineering devices described in patents. A computer tool that is being developed to assist the designer to understand prior art is also described.,2018,"Atherton, M; Jiang, PF; Harrison, D; Malizia, A",RESEARCH IN ENGINEERING DESIGN,Function analysis diagram; Functional interactions; Functional representation; Geometric features; Prior art; Semantics; Working principle; OF-THE-LITERATURE; MODELS
Predicting Design Performance Utilizing Automated Topic Discovery,"Increasingly complex engineering design challenges requires the diversification of knowledge required on design teams. In the context of open innovation, positioning key members within these teams or groups based on their estimated abilities leads to more impactful results since mass collaboration is fundamentally a sociotechnical system. Determining how each individual influences the overall design process requires an understanding of the predicted mapping between their technical competency and performance. This work explores this relationship through the use of predictive models composed of various algorithms. With support of a dataset composed of documents related to the design performance of students working on their capstone design project in combination with textual descriptors representing individual technical aptitudes, correlations are explored as a method to predict overall project development performance. Each technical competency and project is represented as a distribution of topic knowledge to produce the performance metrics, which are referred to as topic competencies, since topic representations increase the ability to decompose and identify human-centric performance measures. Three methods of topic identification and five prediction models are compared based on their prediction accuracy. From this analysis, it is found that representing input variables as topics distributions and the resulting performance as a single indicator while using support vector regression provided the most accurate mapping between ability and performance. With these findings, complex open innovation projects will benefit from increased knowledge of individual ability and how that correlates to their predicted performances.",2020,"Ball, Z; Lewis, K",JOURNAL OF MECHANICAL DESIGN,collaborative design; design teams; text analysis; CLASSIFICATION; PARTICIPATION; COMPETENCES; SYSTEMS
Representation of heterogeneous material properties in the Core Product Model,"The Core Product Model (CPM) was developed at National Institute of Standards as a high level abstraction for representing product related information, to support data exchange, in a distributive and a collaborative environment. In this paper, we extend the CPM to components with continuously varying material properties. Such components are becoming increasing important and popular due to progress in design, analysis and manufacturing techniques. The key enabling concept for modeling continuously varying material properties is that of distance fields associated with a set of material features, where values and rates of material properties are specified. Material fields, representing distribution of material properties within a component, are usually expressed as functions of distances to material features, and are controlled with a variety of differential, integral or algebraic constraints. Our formulation is independent of any particular platform or representation, and applies to most proposed techniques for representing continuously varying material properties. The proposed model is described using Unified Modeling Language and is illustrated through a number of specific examples.",2008,"Biswas, Arpan; Fenves, Steve J.; Shapiro, Vadim; Sriram, Ram",ENGINEERING WITH COMPUTERS,;
